name,author,price,detail_url,pages,publisher
To Kill a Mockingbird,"['\r\n                                                Lee, Harper']",['12.57'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780446310789,['288'],GRAND CENTRAL PUB MASS MARKET 
The Paris Seamstress,"['\r\n                                                Lester, Natasha']",['21.54'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781538714775,['464'],FOREVER                       
Long Road to Mercy,"['\r\n                                                Baldacci, David']",['40.81'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781538761571,['416'],GRAND CENTRAL PUB MASS MARKET 
Total Control,"['\r\n                                                Baldacci, David']",['27.43'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781538711804,['656'],GRAND CENTRAL PUB MASS MARKET 
The Alchemist,"['\r\n                                                Coelho, Paulo']",['22.62'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780062315007,['208'],HARPER COLLINS                
Milkman,"['\r\n                                                Burns, Anna']",['23.64'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781644450000,['360'],GRAY WOLF PR                  
The Overstory,"['\r\n                                                Powers, Richard']",['40.87'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780393635522,['512'],W W NORTON & CO INC           
To Kill a Mockingbird,"['\r\n                                                Lee, Harper']",['20.44'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780060935467,['336'],HARPER COLLINS                
The Chef,"['\r\n                                                Patterson, James']",['39.61'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780316453301,['400'],LITTLE BROWN & CO INC         
Circe,"['\r\n                                                Miller, Madeline']",['38.63'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780316556347,['400'],LEE BOUDREAUX                 
The Tattooist of Auschwitz,"['\r\n                                                Morris, Heather']",['22.62'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780062797155,['288'],HARPER COLLINS                
A Dog's Way Home Movie Tie-In,"['\r\n                                                Cameron, W. Bruce']",['20.66'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781250301895,['336'],FORGE                         
The Fallen,"['\r\n                                                Baldacci, David']",['22.75'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781538761380,['464'],GRAND CENTRAL PUB MASS MARKET 
Less,"['\r\n                                                Greer, Andrew Sean']",['21.42'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780316316132,['272'],LEE BOUDREAUX                 
Juror #3,"['\r\n                                                Patterson, James']",['21.86'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781538760772,['368'],GRAND CENTRAL PUB MASS MARKET 
"Of Blood and Bone: Chronicles of the One, Book 2","['\r\n                                                Roberts, Nora']",['42.52'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781250122995,['464'],ST MARTINS PR INC             
Wolves of Eden,"['\r\n                                                McCarthy, Kevin']",['36.92'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780393652048,['304'],W W NORTON & CO INC           
1984,"['\r\n                                                Orwell, George']",['13.77'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9780451524935,['268'],SIGNET CLASSICS               
The Winner,"['\r\n                                                Baldacci, David']",['23.19'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781538711798,['560'],GRAND CENTRAL PUB MASS MARKET 
Hidden Bodies: (a You Novel),"['\r\n                                                Kepnes, Caroline']",['28.43'],https://opentrolley.com.sg/Book_Detail.aspx?EAN=9781476785639,['448'],ATRIA                         
